DHT-ST3;;;
Kommentar einfügen;;;
Date and Time;Batch Age;I: TempK;I: Druck X
DDD MMM D HH:MM:SS JJJJ;h;°C;mbar
Fri Sep 30 11:54:55 2016;0,141667;37;1055,36
Fri Sep 30 11:55:00 2016;0,143056;37;1054,6
Fri Sep 30 11:55:05 2016;0,144444;37;1054,45
Fri Sep 30 11:55:10 2016;0,145833;37;1052,61
Fri Sep 30 11:55:15 2016;0,147222;37;1053,22
Fri Sep 30 11:55:20 2016;0,148611;37;1052
Fri Sep 30 11:55:25 2016;0,15;37;1049,87
Fri Sep 30 11:55:30 2016;0,151389;37;1048,34
Fri Sep 30 11:55:35 2016;0,152778;37;7,0498
Fri Sep 30 11:55:40 2016;0,154167;37;3,23486
Fri Sep 30 11:55:45 2016;0,155556;37;3,08228
Fri Sep 30 11:55:50 2016;0,156944;37;2,16675
Fri Sep 30 11:55:55 2016;0,158333;37;2,47192
Fri Sep 30 11:56:00 2016;0,159722;37;2,62451
Fri Sep 30 11:56:05 2016;0,161111;37;2,01416
Fri Sep 30 11:56:10 2016;0,1625;36,9;2,47192
Fri Sep 30 11:56:15 2016;0,163889;36,9;2,31934
Fri Sep 30 11:56:20 2016;0,165278;36,9;1,70898
Fri Sep 30 11:56:25 2016;0,166667;36,8;3,38745
Fri Sep 30 11:56:30 2016;0,168056;36,8;1,40381
Fri Sep 30 11:56:35 2016;0,169444;36,7;1,70898
Fri Sep 30 11:56:40 2016;0,170833;36,7;1,25122
Fri Sep 30 11:56:45 2016;0,172222;36,6;2,01416
Fri Sep 30 11:56:50 2016;0,173611;36,6;0,488281
Fri Sep 30 11:56:55 2016;175;36,5;2,31934
Fri Sep 30 11:57:00 2016;0,176389;36,4;2,31934
Fri Sep 30 11:57:05 2016;0,177778;36,3;2,16675
Fri Sep 30 11:57:10 2016;0,179167;36,2;2,16675
Fri Sep 30 11:57:15 2016;0,180556;36,1;2,7771
Fri Sep 30 11:57:20 2016;0,181944;35,9;1,40381
Fri Sep 30 11:57:25 2016;0,183333;35,8;2,62451
Fri Sep 30 11:57:30 2016;0,184722;35,7;2,62451
Fri Sep 30 11:57:35 2016;0,186111;35,6;2,47192
Fri Sep 30 11:57:40 2016;0,1875;35,5;2,62451
Fri Sep 30 11:57:45 2016;0,188889;35,4;2,47192
Fri Sep 30 11:57:50 2016;0,190278;35,2;3,84521
Fri Sep 30 11:57:55 2016;0,191667;35,1;2,31934
Fri Sep 30 11:58:00 2016;0,193056;35;3,08228
Fri Sep 30 11:58:05 2016;0,194444;34,9;2,7771
Fri Sep 30 11:58:10 2016;0,195833;34,8;2,16675
Fri Sep 30 11:58:15 2016;0,197222;34,6;2,7771
Fri Sep 30 11:58:20 2016;0,198611;34,5;3,38745
Fri Sep 30 11:58:25 2016;0,2;34,4;3,08228
Fri Sep 30 11:58:30 2016;0,201389;34,2;2,92969
Fri Sep 30 11:58:35 2016;0,202778;34,1;1,40381
Fri Sep 30 11:58:40 2016;0,204167;34;3,69263
Fri Sep 30 11:58:45 2016;0,205556;33,9;3,38745
Fri Sep 30 11:58:50 2016;0,206944;33,7;2,16675
Fri Sep 30 11:58:55 2016;0,208333;33,6;2,92969
Fri Sep 30 11:59:00 2016;0,209722;33,4;3,08228
Fri Sep 30 11:59:05 2016;0,211111;33,4;2,31934
Fri Sep 30 11:59:10 2016;0,2125;33,2;2,01416
Fri Sep 30 11:59:15 2016;0,213889;33,1;2,92969
Fri Sep 30 11:59:20 2016;0,215278;33;3,84521
Fri Sep 30 11:59:25 2016;0,216667;32,8;2,01416
Fri Sep 30 11:59:30 2016;0,218056;32,7;2,92969
Fri Sep 30 11:59:35 2016;0,219444;32,6;3,69263
