DHT_ST4;;;
Kommentar einf�gen;;;
Date and Time;Batch Age;I: TempK;I: Druck X
DDD MMM D HH:MM:SS JJJJ;h;ﾰC;mbar
Fri Sep 30 02:03:03 2016;0,475;27;1211,46
Fri Sep 30 02:03:08 2016;0,476389;27;1211,31
Fri Sep 30 02:03:13 2016;0,477778;26;1211,46
Fri Sep 30 02:03:18 2016;0,479167;26;1211,62
Fri Sep 30 02:03:23 2016;0,480556;24;1211,46
Fri Sep 30 02:03:28 2016;0,481944;23;1210,7
Fri Sep 30 02:03:33 2016;0,483333;23;1211,16
Fri Sep 30 02:03:38 2016;0,484722;27;1211,92
Fri Sep 30 02:03:43 2016;0,486111;24;1209,33
Fri Sep 30 02:03:48 2016;0,4875;26;1210,7
Fri Sep 30 02:03:53 2016;0,488889;24;1209,48
Fri Sep 30 02:03:58 2016;0,490278;27;1211,46
Fri Sep 30 02:04:03 2016;0,491667;26;1211,77
Fri Sep 30 02:04:08 2016;0,493056;26;1209,17
Fri Sep 30 02:04:13 2016;0,494444;23;1211,46
Fri Sep 30 02:04:18 2016;0,495833;24;1211,01
Fri Sep 30 02:04:23 2016;0,497222;27;1211,01
Fri Sep 30 02:04:28 2016;0,498611;23;1209,02
Fri Sep 30 02:04:33 2016;0,5;23;1209,78
Fri Sep 30 02:04:38 2016;0,501389;24;1209,33
Fri Sep 30 02:04:43 2016;0,502778;27;1211,01
Fri Sep 30 02:04:48 2016;0,504167;24;1211,31
Fri Sep 30 02:04:53 2016;0,505556;27;1212,07
Fri Sep 30 02:04:58 2016;0,506944;26;1211,62
Fri Sep 30 02:05:03 2016;0,508333;26;1211,46
Fri Sep 30 02:05:08 2016;0,509722;24;1211,01
Fri Sep 30 02:05:13 2016;0,511111;25;1209,63
Fri Sep 30 02:05:18 2016;0,5125;23;1211,62
Fri Sep 30 02:05:23 2016;0,513889;26;1211,62
Fri Sep 30 02:05:28 2016;0,515278;26;1211,77
Fri Sep 30 02:05:33 2016;0,516667;26;1210,39
Fri Sep 30 02:05:38 2016;0,518056;26;1211,77
Fri Sep 30 02:05:43 2016;0,519444;26;1209,94
Fri Sep 30 02:05:48 2016;0,520833;24;1210,55
Fri Sep 30 02:05:53 2016;0,522222;25;1209,33
Fri Sep 30 02:05:58 2016;0,523611;23;1209,02
Fri Sep 30 02:06:03 2016;0,525;25;1211,31
Fri Sep 30 02:06:08 2016;0,526389;25;1211,62
Fri Sep 30 02:06:13 2016;0,527778;27;1211,31
Fri Sep 30 02:06:18 2016;0,529167;26;1211,31
Fri Sep 30 02:06:23 2016;0,530556;24;1211,16
Fri Sep 30 02:06:28 2016;0,531944;23;1211,92
Fri Sep 30 02:06:33 2016;0,533333;26;1211,62
Fri Sep 30 02:06:38 2016;0,534722;23;1211,77
Fri Sep 30 02:06:43 2016;0,536111;27;1211,62
Fri Sep 30 02:06:48 2016;0,5375;26;1211,31
Fri Sep 30 02:06:53 2016;0,538889;25;1211,31
Fri Sep 30 02:06:58 2016;0,540278;26;1211,31
Fri Sep 30 02:07:03 2016;0,541667;26;1211,77
Fri Sep 30 02:07:08 2016;0,543056;25;1211,77
Fri Sep 30 02:07:13 2016;0,544444;23;1211,31
Fri Sep 30 02:07:18 2016;0,545833;25;1209,63
Fri Sep 30 02:07:23 2016;0,547222;26;1211,31
Fri Sep 30 02:07:28 2016;0,548611;23;1211,77
Fri Sep 30 02:07:33 2016;0,55;24;1211,92
Fri Sep 30 02:07:38 2016;0,551389;24;1211,62
Fri Sep 30 02:07:43 2016;0,552778;25;1211,46
Fri Sep 30 02:07:48 2016;0,554167;26;1211,62
Fri Sep 30 02:07:53 2016;0,555556;25;1211,16
Fri Sep 30 02:07:58 2016;0,556944;23;1211,46
Fri Sep 30 02:08:03 2016;0,558333;25;1211,62
Fri Sep 30 02:08:08 2016;0,559722;23;1211,01
Fri Sep 30 02:08:13 2016;0,561111;26;1210,55
Fri Sep 30 02:08:18 2016;0,5625;23;1209,17
Fri Sep 30 02:08:23 2016;0,563889;25;1211,31
Fri Sep 30 02:08:28 2016;0,565278;23;1211,62
Fri Sep 30 02:08:33 2016;0,566667;23;1211,92
Fri Sep 30 02:08:38 2016;0,568056;23;1211,46
Fri Sep 30 02:08:43 2016;0,569444;26;1211,46
Fri Sep 30 02:08:48 2016;0,570833;23;1212,07
Fri Sep 30 02:08:53 2016;0,572222;26;1211,62
Fri Sep 30 02:08:58 2016;0,573611;23;1211,16
Fri Sep 30 02:09:03 2016;0,575;24;1211,46
Fri Sep 30 02:09:08 2016;0,576389;25;1211,92
Fri Sep 30 02:09:13 2016;0,577778;23;1211,31
Fri Sep 30 02:09:18 2016;0,579167;23;1211,92
